sourceDepth,recDepth,recRange,simGvel,txNode,rxNode,owtt
20,90,NaN,NaN,Camp,West,1.24341
20,90,NaN,NaN,Camp,West,1.24344
20,90,NaN,NaN,Camp,West,1.24337
20,90,NaN,NaN,Camp,West,1.23643
20,30,NaN,NaN,Camp,South,1.05636
20,30,NaN,NaN,Camp,South,1.05694
20,30,NaN,NaN,Camp,South,1.05687
20,30,NaN,NaN,Camp,South,1.05686
20,30,NaN,NaN,Camp,South,1.0566
20,30,NaN,NaN,Camp,South,1.05645
90,30,2047.05879840405,1443.7961152362,East,South,1.42898
20,30,NaN,NaN,Camp,South,1.05647
90,30,2046.95369262577,1443.7966749699,East,South,1.42895
20,30,NaN,NaN,Camp,South,1.05644
90,30,2047.10890116851,1443.79832052649,East,South,1.42902
90,30,2047.2748791559,1443.79814921436,East,South,1.429
20,30,NaN,NaN,Camp,South,1.05638
90,30,2046.99097653308,1443.79608735166,East,South,1.42908
20,30,NaN,NaN,Camp,South,1.05635
90,30,2047.59022748032,1443.79840992812,East,South,1.42904
20,30,NaN,NaN,Camp,South,1.05639
90,30,2047.37383810807,1443.79488420131,East,South,1.42908
20,30,NaN,NaN,Camp,South,1.0563
90,30,2047.24828668588,1443.79497357,East,South,1.42904
20,30,NaN,NaN,Camp,South,1.05629
90,30,2046.27803811126,1443.79071646705,East,South,1.42901
20,30,NaN,NaN,Camp,South,1.05675
20,30,NaN,NaN,Camp,South,1.05673
20,30,NaN,NaN,Camp,South,1.05673
20,30,NaN,NaN,Camp,South,1.05606
90,30,2048.07514785145,1443.79699780028,East,South,1.42898
20,30,NaN,NaN,Camp,South,1.05684
90,30,2047.58159159018,1443.7950285324,East,South,1.42902
20,30,NaN,NaN,Camp,South,1.05671
90,30,2046.77662230597,1443.79202019211,East,South,1.4291
20,30,NaN,NaN,Camp,South,1.05661
90,30,2046.59239572165,1443.79338792679,East,South,1.42907
20,30,NaN,NaN,Camp,South,1.05645
90,30,2047.36520794118,1443.79684113842,East,South,1.42905
20,30,NaN,NaN,Camp,South,1.05653
90,30,2047.15725720064,1443.79630563882,East,South,1.42911
90,30,2046.6704903858,1443.79323529183,East,South,1.42913
20,30,NaN,NaN,Camp,South,1.0566
90,30,2047.42217791723,1443.79688318992,East,South,1.42914
20,30,NaN,NaN,Camp,South,1.05659
90,30,2046.319108861,1443.79355887174,East,South,1.42912
20,30,NaN,NaN,Camp,South,1.05659
90,30,2046.47902036143,1443.79430404973,East,South,1.42919
90,30,2046.4967836687,1443.79441066496,East,South,1.42915
20,30,NaN,NaN,Camp,South,1.05673
90,30,2046.42797124524,1443.79450198654,East,South,1.42912
