sourceDepth,recDepth,recRange,simGvel,txNode,rxNode,owtt
20,30,1776.1264920793,NaN,Camp,West,1.2421
20,30,1775.07744408836,NaN,Camp,West,1.24083
20,30,1775.49579990174,NaN,Camp,West,1.24083
20,30,1774.31107509865,NaN,Camp,West,1.24082
20,30,1774.36842629212,NaN,Camp,West,1.24081
20,30,1774.51393311271,NaN,Camp,West,1.24079
20,30,1773.86388688624,NaN,Camp,West,1.24079
20,30,1773.78428937189,NaN,Camp,West,1.24078
20,30,1773.91322968855,NaN,Camp,West,1.24084
20,30,1772.86042333956,NaN,Camp,West,1.24088
20,30,1772.98208097506,NaN,Camp,West,1.24082
20,30,1774.11257990401,NaN,Camp,West,1.24086
20,30,1773.60468331639,NaN,Camp,West,1.24084
20,30,1774.1179219847,NaN,Camp,West,1.24085
20,30,1773.93732044758,NaN,Camp,West,1.24089
90,90,3162.20191552175,1438.60141401928,East,West,2.20279
20,90,1773.51006534639,NaN,Camp,West,1.24338
20,90,1773.56507632868,NaN,Camp,West,1.24341
20,90,1771.65809024498,NaN,Camp,West,1.24344
20,90,1771.3945682441,NaN,Camp,West,1.24337
20,90,1770.74957834251,NaN,Camp,West,1.23643
20,30,1509.98032414389,NaN,Camp,South,1.05636
20,30,1511.15813026095,NaN,Camp,South,1.05694
20,30,1510.76792314139,NaN,Camp,South,1.05687
20,30,1509.84674121604,NaN,Camp,South,1.05686
20,30,1509.11938959031,NaN,Camp,South,1.0566
20,30,1508.62563071621,NaN,Camp,South,1.05645
90,30,2046.77024685501,1443.7961152362,East,South,1.42898
20,30,1509.17116698303,NaN,Camp,South,1.05647
90,30,2046.92339921998,1443.7966749699,East,South,1.42895
20,30,1509.6293980737,NaN,Camp,South,1.05644
90,30,2046.84287084192,1443.79832052649,East,South,1.42902
90,30,2046.86752588891,1443.79814921436,East,South,1.429
20,30,1511.05053987655,NaN,Camp,South,1.05638
90,30,2047.14253607724,1443.79608735166,East,South,1.42908
20,30,1512.02633571033,NaN,Camp,South,1.05635
90,30,2047.10352539375,1443.79840992812,East,South,1.42904
20,30,1512.64926222848,NaN,Camp,South,1.05639
90,30,2047.07601503865,1443.79488420131,East,South,1.42908
20,30,1511.48776186955,NaN,Camp,South,1.0563
90,30,2046.83022516523,1443.79497357,East,South,1.42904
20,30,1510.02436593216,NaN,Camp,South,1.05629
90,30,2046.65047619545,1443.79071646705,East,South,1.42901
20,30,1510.74164547471,NaN,Camp,South,1.05675
20,30,1511.43770344579,NaN,Camp,South,1.05673
20,30,1510.26837894549,NaN,Camp,South,1.05673
20,30,1510.56743748505,NaN,Camp,South,1.05606
90,30,2047.32817553807,1443.79699780028,East,South,1.42898
20,30,1510.5975475704,NaN,Camp,South,1.05684
90,30,2047.30434158119,1443.7950285324,East,South,1.42902
20,30,1509.71779650562,NaN,Camp,South,1.05671
90,30,2047.10611491699,1443.79202019211,East,South,1.4291
20,30,1510.30799849862,NaN,Camp,South,1.05661
90,30,2047.07894667712,1443.79338792679,East,South,1.42907
20,30,1509.01010516843,NaN,Camp,South,1.05645
90,30,2046.91063248774,1443.79684113842,East,South,1.42905
20,30,1509.86991589552,NaN,Camp,South,1.05653
90,30,2046.99167419524,1443.79630563882,East,South,1.42911
90,30,2047.009933796,1443.79323529183,East,South,1.42913
20,30,1508.70586810392,NaN,Camp,South,1.0566
90,30,2046.79182487386,1443.79688318992,East,South,1.42914
20,30,1508.53463897677,NaN,Camp,South,1.05659
90,30,2046.97629969582,1443.79355887174,East,South,1.42912
20,30,1509.28936066936,NaN,Camp,South,1.05659
90,30,2047.07160376677,1443.79430404973,East,South,1.42919
90,30,2046.74896434618,1443.79441066496,East,South,1.42915
20,30,1510.25466248135,NaN,Camp,South,1.05673
90,30,2046.27863978376,1443.79450198654,East,South,1.42912
90,30,2046.19129562485,1443.79432833024,East,South,1.42905
90,30,2046.43887673841,1443.79369619253,East,South,1.42902
90,30,2046.24158424321,1443.7970209219,East,South,1.42901
90,30,2046.48671135698,1443.79629234691,East,South,1.42905
20,30,1510.19424706933,NaN,Camp,South,1.05665
90,30,2046.56981406379,1443.79754440711,East,South,1.42903
20,30,1509.00670040414,NaN,Camp,South,1.05668
90,30,2046.37104887821,1443.79727933962,East,South,1.42898
20,30,1508.23431920988,NaN,Camp,South,1.05666
90,30,2046.61858513579,1443.79597815369,East,South,1.42904
20,30,1508.97229665045,NaN,Camp,South,1.05665
90,30,2046.35619076307,1443.79861296145,East,South,1.42901
20,30,1509.65083250661,NaN,Camp,South,1.05664
90,30,2046.41096991227,1443.79516835046,East,South,1.42906
90,30,2046.17142618073,1443.79462771393,East,South,1.42903
90,90,2046.45818335969,1443.79343146497,East,South,1.41808
90,90,2046.55876450762,1449.51028713934,East,South,1.41803
90,90,2046.66277340697,1449.50969509219,East,South,1.41798
90,90,2046.77159541028,1449.50899991881,East,South,1.42395
90,90,2046.4259905078,1449.50936606217,East,South,1.41801
90,90,2046.42790117345,1449.50834686342,East,South,1.41798
90,90,2046.38034939706,1449.50700819055,East,South,1.41803
90,90,2046.35083263019,1449.50703380867,East,South,1.41799
90,90,2046.18020714287,1449.50636144166,East,South,1.41796
90,90,2046.76853633498,1449.50622506867,East,South,1.41794
90,90,2046.68442782056,1449.50489020136,East,South,1.41796
90,90,2046.6155601681,1449.50423150266,East,South,1.41804
90,90,2046.65972875316,1449.50438738174,East,South,1.41806
90,90,2046.57187376385,1449.50540695447,East,South,1.41808
90,90,2046.66036970851,1449.50571992931,East,South,1.41813
90,90,2046.6798795181,1449.50604922509,East,South,1.41805
90,90,2046.31306056373,1449.50581647087,East,South,1.41804
90,90,2046.52069058303,1449.50484929326,East,South,1.41799
90,90,2046.56632291007,1449.50527108371,East,South,1.41801
90,90,2046.45535619478,1449.50666633897,East,South,1.41801
90,90,2046.49399116764,1449.50586724163,East,South,1.41798
90,90,2046.72651352342,1449.50562040007,East,South,1.41791
90,90,2046.71533729614,1449.50652668558,East,South,1.42385
90,90,2046.43237391351,1449.50648733508,East,South,1.41782
90,90,2046.24449393136,1449.50691743173,East,South,1.41778
90,90,2046.32274315517,1449.50596312932,East,South,1.41783
90,90,2046.27734238617,1449.50809556693,East,South,1.41779
90,90,2045.88292675266,1449.5083245224,East,South,1.41775
90,90,2046.04568713269,1449.50874088977,East,South,1.4176
90,90,2046.10970108691,1449.50837468338,East,South,1.41748
90,90,2046.13480016803,1449.50876066871,East,South,1.41732
90,90,2046.53987495354,1449.50966473725,East,South,1.41727
90,90,2046.24692172024,1449.51013205727,East,South,1.41722
20,90,1463.63899713745,1442.03971231233,Camp,East,1.0189
20,90,1462.66026546485,1442.03352917224,Camp,East,1.01885
20,90,1462.6500392582,1442.03309991938,Camp,East,1.01886
20,90,1462.80046219077,1442.06363684668,Camp,East,1.01893
20,90,1462.61170924326,1442.03601758163,Camp,East,1.01898
20,90,1462.72358452214,1442.03451400865,Camp,East,1.01897
20,90,1462.76589666053,1442.03172336128,Camp,East,1.01897
20,90,1463.152114698,1442.05986669408,Camp,East,1.01904
20,90,1460.5860615757,1442.04418416965,Camp,East,1.01901
20,90,1461.81103657668,1441.99706670172,Camp,East,1.019
20,90,1460.95814159157,1442.04789501465,Camp,East,1.019
20,90,1460.74745765172,1442.04362837879,Camp,East,1.01898
20,90,1460.79575907566,1442.05577686434,Camp,East,1.01894
20,90,1462.55238566316,1442.05571081505,Camp,East,1.019
20,90,1461.17263424473,1442.04100692247,Camp,East,1.01959
20,90,1461.51053333217,1442.05196809526,Camp,East,1.01961
20,90,1460.83414147812,1442.05410160691,Camp,East,1.01906
20,90,1460.90073610868,1442.04744002195,Camp,East,1.01906
20,90,1460.2071988004,1442.01538988256,Camp,East,1.01913
20,90,1461.33892899627,1441.98693532895,Camp,East,1.01913
20,90,1461.95661467399,1442.01447258182,Camp,East,1.01902
20,90,1462.62293805602,1442.00907337599,Camp,East,1.01898
20,90,1464.17143139068,1442.01248178481,Camp,East,1.01904
20,90,1464.01396439538,1442.05535076709,Camp,East,1.01901
20,90,1462.67225520274,1442.0097772016,Camp,East,1.01899
20,90,1462.55181746102,1442.09247781797,Camp,East,1.01903
20,90,1461.56499180824,1442.04392934258,Camp,East,1.01903
20,90,1461.80512862258,1442.02363498738,Camp,East,1.01904
20,90,1461.27696043664,1442.03065411011,Camp,East,1.01902
20,90,1462.70253530281,1442.04157012239,Camp,East,1.01701
20,90,1463.26715890643,1442.04576528277,Camp,East,1.01762
20,90,1464.62081774467,1442.06237509554,Camp,East,1.01691
20,90,1464.64588218774,1442.02703711011,Camp,East,1.01687
20,90,1466.07356853967,1442.04754896581,Camp,East,1.01678
90,30,2149.29707482177,1444.74652247154,East,North,1.50134
90,30,2149.95460511299,1444.74697538498,East,North,1.5014
