index,must_bnc,owtt
322,False,1.4893492
323,False,1.4894229
324,False,1.4897556
325,False,1.4896404
326,False,1.4895158
327,False,1.237242
328,False,1.2375864
329,False,1.2356669
330,False,1.2356611
331,False,1.2362899
332,False,1.2366759
333,False,1.2365199
334,False,1.2361733
335,False,1.2368189
336,False,1.2373054
337,False,1.2370143
338,False,1.2371264
339,False,1.2369062
340,False,1.2368048
341,False,1.2364796
342,False,1.2369041
343,False,1.2380214
344,False,1.2386034
345,False,1.23695
346,False,1.2372804
347,False,1.2383621
348,False,1.2296288
349,False,1.2311153
350,False,1.2301713
351,False,1.2301713
352,False,1.0544031
353,False,1.0537317
354,False,1.0558932
355,False,1.0544246
356,False,1.0552264
357,False,1.0550317
358,False,1.0546777
359,False,1.4201654
360,False,1.0562406
361,False,1.4199148
362,False,1.4198968
363,False,1.055312
364,False,1.4201721
365,False,1.419917
366,False,1.0560157
367,False,1.420313
368,False,1.0561363
369,False,1.4199756
370,False,1.0560398
371,False,1.4200336
372,False,1.055864
373,False,1.4197792
374,False,1.0548434
375,False,1.4198631
376,False,1.0547855
377,False,1.4198213
378,False,1.419659
379,False,1.0546144
380,False,1.4197924
381,False,1.0560621
382,False,1.4199847
383,False,1.4198858
384,False,1.0548823
385,False,1.419876
386,False,1.4197944
387,False,1.0545056
388,False,1.056201
389,False,1.0560315
390,False,1.055248
391,False,1.05472
392,False,1.053462
393,False,1.0531839
394,False,1.0527306
395,False,1.418685
396,False,1.4185991
397,False,1.418845
398,False,1.418697
399,False,1.418541
400,False,1.418275
401,False,1.4186221
402,False,1.4189878
403,False,1.0481812
404,False,1.4188598
405,False,1.4189157
406,False,1.4185923
407,False,1.4184674
408,False,1.4185196
409,False,1.4186704
410,False,1.4187338
411,False,1.41869
412,False,1.0525
413,False,1.4185737
414,False,1.4187912
415,False,1.4189713
416,False,1.0510603
417,False,1.4189373
418,False,1.0508279
419,False,1.4185945
420,False,1.4184717
421,False,1.0500537
422,False,1.0499665
423,False,1.4187939
424,False,1.0508348
425,False,1.4185362
426,False,1.0498772
427,False,1.4182805
428,False,1.0500847
429,False,1.4184288
430,False,1.4182584
431,False,1.4183506
432,False,1.4185597
433,False,1.4184378
434,False,1.418219
435,False,1.418133
436,False,1.4183445
437,False,1.4184331
438,False,1.4184731
439,False,1.4185549
440,False,1.4184626
441,False,1.4187287
442,False,1.4186934
443,False,1.4186858
444,False,1.4187212
445,False,1.418747
446,False,1.418856
447,False,1.4191651
448,False,1.4186428
449,False,1.4186442
450,False,1.4187614
451,False,1.4186124
452,False,1.4186296
453,False,1.4185002
454,False,1.4188492
455,False,1.4188432
456,False,1.0161408
457,False,1.0162103
458,False,1.0157448
459,False,1.0164187
460,False,1.0163058
461,False,1.0155287
462,False,1.0156819
463,False,1.0152137
464,False,1.0154552
465,False,1.0152379
